;Title, http://www.gcdataconcepts.com, x16-1d, ADXL345
;Version, 1877, Build date, Jan  8 2020,  SN:CCDC4016ECDDBE3
;Start_time, 2022-11-15, 18:53:55.418
;Uptime, 4,sec,  Vbat, 1426, mv, EOL, 1100, mv
;SampleRate, 200,Hz
;Deadband, 0, counts
;DeadbandTimeout, 0.000,sec
;Time, Ax, Ay, Az
0.77362,1110,-392,1455
0.82186,1137,-343,1562
0.87041,1076,-158,1744
0.92041,949,-204,1847
0.96895,774,-245,1806
0.101750,865,49,1605
0.106750,1032,155,1421
0.111574,969,49,1319
0.116429,1032,-68,1394
0.121429,1110,-188,1565
0.126284,1083,-140,1594
0.131139,1223,-75,1790
0.136139,1199,-133,2124
0.140963,1010,-183,2130
0.145818,1040,-200,1976
0.150818,1173,-58,1801
0.155672,1215,135,1662
0.160527,1107,53,1631
0.165527,1015,42,1349
0.170351,1090,296,1108
0.175206,1107,341,1310
0.180206,996,151,1544
0.185061,955,-2,1465
0.189885,1044,103,1267
0.194885,1180,221,1298
0.199740,1174,1,1494
0.204594,1012,89,1748
0.209594,1048,521,1876
0.214449,1126,569,1835
0.219304,944,542,1824
0.224304,917,698,1837
0.229128,1028,715,1803
0.233983,982,576,1783
0.238983,982,480,1730
0.243838,1023,510,1598
0.248662,1003,460,1524
0.253662,1015,373,1403
0.258516,1082,441,1342
0.263371,1069,503,1556
0.268371,1017,446,1819
0.273226,974,307,1810
0.278050,901,333,1581
0.283050,976,507,1494
0.287905,1092,505,1505
0.292760,1048,483,1474
0.297760,1005,528,1544
0.302584,996,537,1640
0.307439,987,633,1644
0.312439,973,849,1676
0.317293,898,932,1739
0.322148,757,876,1655
0.327148,765,953,1528
0.331972,894,949,1530
0.336827,858,824,1589
0.341827,860,835,1560
0.346682,924,842,1476
0.351506,930,851,1469
0.356506,973,835,1574
0.361361,942,778,1610
0.366215,871,844,1514
0.371215,837,899,1489
0.376040,780,896,1498
0.380894,728,930,1440
0.385894,712,983,1399
0.390749,726,1019,1419
0.395573,764,1037,1467
0.400573,792,1108,1535
0.405428,799,1133,1655
0.410283,755,1139,1619
0.415283,651,1226,1490
0.420107,671,1196,1576
0.424962,694,1126,1587
0.429962,648,1192,1481
0.434817,753,1240,1492
0.439641,789,1155,1487
0.444641,682,1083,1412
0.449495,662,1089,1349
0.454350,594,1110,1274
0.459350,501,1244,1262
0.464174,530,1383,1349
0.469029,471,1403,1346
0.474029,430,1401,1371
0.478884,510,1414,1451
0.483739,494,1478,1394
0.488739,408,1514,1290
0.493563,366,1456,1201
0.498418,398,1455,1214
0.503418,349,1519,1271
0.508272,216,1540,1194
0.513097,235,1524,1140
0.518097,294,1594,1199
0.522951,242,1698,1221
0.527806,233,1674,1208
0.532806,246,1608,1187
0.537630,221,1562,1137
0.542485,226,1533,1119
0.547485,192,1619,1133
0.552340,124,1755,1160
0.557164,71,1823,1165
0.562164,23,1844,1128
0.567019,21,1874,1082
0.571873,21,1892,1039
0.576873,-13,1839,983
0.581698,-49,1790,903
0.586214,-97,1821,883
0.591466,-104,1858,892
0.596466,-79,1849,835
0.601290,-129,1773,844
0.606145,-193,1735,864
0.611145,-195,1731,840
0.615969,-177,1664,853
0.620824,-167,1648,823
0.625824,-183,1692,773
0.630678,-227,1733,719
0.635533,-281,1735,614
0.640533,-311,1726,640
0.645357,-300,1790,780
0.650212,-304,1814,646
0.655212,-334,1783,503
0.660067,-365,1773,544
0.664891,-427,1756,478
0.669891,-472,1755,441
0.674746,-470,1762,383
0.679600,-533,1780,285
0.684600,-616,1837,328
0.689455,-656,1833,353
0.694279,-709,1771,310
0.699279,-745,1762,314
0.704134,-720,1728,317
0.708989,-706,1706,269
0.713989,-741,1801,205
0.718813,-766,1828,230
0.723668,-783,1787,283
0.728668,-825,1833,296
0.733523,-840,1905,342
0.738347,-811,1949,355
0.743347,-816,1969,274
0.748202,-822,1944,237
0.753056,-756,1878,249
0.758056,-825,1815,137
0.762880,-1095,1751,62
0.767735,-1191,1708,53
0.772735,-1191,1714,-61
0.777590,-1341,1656,-59
0.782414,-1413,1599,7
0.787414,-1343,1621,-42
0.792269,-1352,1626,5
0.797124,-1393,1617,30
0.802124,-1374,1583,-33
0.806948,-1397,1517,-45
0.811803,-1434,1476,-47
0.816803,-1445,1480,-83
0.821657,-1463,1533,-97
0.826512,-1491,1533,-75
0.831512,-1504,1462,-77
0.836336,-1474,1415,-40
0.841191,-1470,1383,-25
0.846191,-1472,1389,-65
0.851046,-1415,1424,-88
0.855870,-1413,1428,-97
0.860870,-1502,1423,-109
0.865387,-1584,1371,-133
0.870269,-1624,1339,-165
0.875152,-1627,1378,-172
0.880404,-1649,1406,-159
0.885258,-1690,1451,-174
0.890258,-1679,1476,-163
0.895083,-1675,1428,-115
0.899937,-1661,1330,-140
0.904937,-1613,1258,-209
0.909792,-1661,1258,-183
0.914616,-1715,1244,-81
0.919616,-1599,1212,-45
0.924471,-1429,1214,-31
0.929326,-1377,1180,7
0.934326,-1441,1140,8
0.939150,-1574,1140,-4
0.944005,-1631,1137,-77
0.949005,-1575,1164,-124
0.953859,-1611,1212,-102
0.958684,-1722,1183,-140
0.963684,-1781,1132,-161
0.968538,-1756,1132,-186
0.973393,-1690,1119,-213
0.978393,-1699,1090,-177
0.983217,-1722,1042,-175
0.988072,-1706,958,-175
0.993072,-1766,858,-163
0.997927,-1831,764,-167
1.2751,-1827,685,-167
