;Title, http://www.gcdataconcepts.com, x16-1d, ADXL345
;Version, 1877, Build date, Jan  8 2020,  SN:CCDC4016ECDDBE3
;Start_time, 2022-11-15, 19:26:38.405
;Uptime, 4,sec,  Vbat, 1472, mv, EOL, 1100, mv
;SampleRate, 200,Hz
;Deadband, 0, counts
;DeadbandTimeout, 0.000,sec
;Time, Ax, Ay, Az
0.76844,-431,-2889,892
0.81668,-258,-2098,830
0.86492,-349,-2132,-386
0.91492,-368,-2134,-424
0.96347,-345,-1799,-592
0.101171,-308,-1766,-922
0.106171,-172,-1804,-536
0.110995,-102,-1811,-356
0.115819,114,-2059,85
0.120819,333,-2252,483
0.125674,221,-2188,133
0.130498,80,-2363,130
0.135498,101,-2552,558
0.140323,112,-2352,510
0.145147,71,-2118,219
0.150147,60,-2004,144
0.154971,103,-1947,219
0.159826,155,-2023,287
0.164826,198,-2047,326
0.169650,230,-2022,462
0.174474,235,-2056,603
0.179474,278,-2016,617
0.184298,324,-1948,607
0.189153,269,-1920,583
0.194153,205,-1806,466
0.198977,157,-1659,316
0.203802,135,-1661,217
0.208802,224,-1768,223
0.213626,324,-1913,355
0.218450,398,-2104,537
0.223450,451,-2290,664
0.228305,453,-2304,669
0.233129,433,-2168,605
0.238129,364,-2102,514
0.242953,264,-2090,408
0.247777,192,-2057,401
0.252777,144,-2059,442
0.257602,96,-2038,444
0.262456,39,-1968,458
0.267456,16,-1904,474
0.272281,-6,-1854,478
0.277105,-27,-1857,451
0.282105,-15,-1936,389
0.286929,-45,-2072,330
0.291753,-125,-2223,287
0.296753,-200,-2318,260
0.301608,-279,-2347,267
0.306432,-327,-2322,316
0.311432,-333,-2241,355
0.316256,-308,-2143,357
0.321081,-274,-2063,367
0.326081,-292,-2007,362
0.330905,-309,-1965,324
0.335729,-283,-1890,299
0.340729,-258,-1836,260
0.345584,-236,-1873,192
0.350408,-225,-1938,128
0.355408,-215,-2013,137
0.360232,-199,-2097,203
0.365056,-209,-2157,255
0.370056,-197,-2166,269
0.374881,-147,-2148,266
0.379735,-113,-2095,285
0.384735,-109,-2065,298
0.389560,-131,-2100,289
0.394384,-136,-2084,307
0.399384,-140,-2047,319
0.404208,-150,-2034,301
0.409032,-127,-2002,294
0.414032,-93,-1945,316
0.418887,-68,-1931,321
0.423711,-49,-1988,308
0.428711,-45,-2002,301
