timestamp,tagID,RSSI
20220111T094008,477766,125
20220111T094013,477787,120
20220111T094013,477791,125
20220111T094013,477786,127
20220111T094013,477764,130
20220111T094013,477783,129
20220111T094013,477776,114
20220111T094013,477767,120
20220111T094013,477771,128
20220111T094013,477780,132
20220111T094013,477777,129
20220111T094013,477782,128
20220111T094013,477769,122
20220111T094013,477790,118
20220111T094013,477778,124
20220111T094013,477770,128
20220111T094013,477765,124
20220111T094013,477784,130
20220111T094013,477785,128
20220111T094013,477775,121
20220111T094013,477766,126
20220111T094013,477787,121
20220111T094013,477776,114
20220111T094013,477764,131
20220111T094013,477772,128
20220111T094013,477767,120
20220111T094013,477777,129
20220111T094013,477769,124
20220111T094013,477778,122
20220111T094013,477765,125
20220111T094013,477770,128
20220111T094013,477792,121
20220111T094013,477793,127
20220111T094013,477789,123
20220111T094013,477785,130
20220111T094013,477766,125
20220111T094013,477783,130
20220111T094013,477787,121
20220111T094013,477776,115
20220111T094013,477788,127
20220111T094013,477781,130
20220111T094013,477767,121
20220111T094013,477786,127
20220111T094013,477780,132
20220111T094013,477777,130
20220111T094013,477778,123
20220111T094013,477765,125
20220111T094013,477782,129
20220111T094013,477775,121
20220111T094013,477793,127
20220111T094013,477784,130
20220111T094013,477789,124
20220111T094013,477785,130
20220111T094013,477766,125
20220111T094013,477783,129
20220111T094013,477773,121
20220111T094013,477788,128
20220111T094013,477776,115
20220111T094013,477767,121
20220111T094013,477769,124
20220111T094013,477765,124
20220111T094013,477777,129
20220111T094013,477771,128
20220111T094013,477778,122
20220111T094013,477770,127
20220111T094013,477784,131
20220111T094013,477789,125
20220111T094013,477785,130
20220111T094013,477766,125
20220111T094013,477787,121
20220111T094013,477783,128
20220111T094013,477774,126
20220111T094013,477776,113
20220111T094013,477773,122
20220111T094013,477788,127
20220111T094013,477764,131
20220111T094013,477791,126
20220111T094013,477772,130
20220111T094013,477790,117
20220111T094013,477780,132
20220111T094013,477786,126
20220111T094013,477778,122
20220111T094013,477775,122
20220111T094013,477777,129
20220111T094013,477770,127
20220111T094013,477784,130
20220111T094013,477789,124
20220111T094013,477785,130
20220111T094013,477783,129
20220111T094013,477766,126
20220111T094013,477764,131
20220111T094013,477791,125
20220111T094013,477781,128
20220111T094013,477765,125
20220111T094013,477769,124
20220111T094013,477790,118
20220111T094013,477778,122
20220111T094013,477777,128
20220111T094013,477771,130
20220111T094013,477782,129
20220111T094013,477783,129
20220111T094013,477785,130
20220111T094013,477776,115
20220111T094013,477787,121
20220111T094013,477774,127
20220111T094013,477766,126
20220111T094013,477764,130
20220111T094013,477765,124
20220111T094013,477790,118
20220111T094013,477778,123
20220111T094013,477772,128
20220111T094013,477770,127
20220111T094013,477793,127
20220111T094013,477792,120
20220111T094013,477777,129
20220111T094013,477782,130
20220111T094013,477771,128
20220111T094013,477789,125
20220111T094013,477776,115
20220111T094013,477787,121
20220111T094013,477774,127
20220111T094013,477766,126
20220111T094013,477788,128
20220111T094013,477765,125
20220111T094013,477764,131
20220111T094013,477769,124
20220111T094013,477767,120
20220111T094013,477780,133
20220111T094013,477790,118
20220111T094013,477786,126
20220111T094013,477772,129
20220111T094013,477792,121
20220111T094013,477777,130
20220111T094013,477782,128
20220111T094013,477771,128
20220111T094013,477784,130
20220111T094013,477783,128
20220111T094013,477776,114
20220111T094013,477789,124
20220111T094013,477787,121
20220111T094013,477773,121
20220111T094013,477785,130
20220111T094013,477788,127
20220111T094013,477765,124
20220111T094013,477769,124
20220111T094013,477781,130
20220111T094013,477779,127
20220111T094013,477793,127
20220111T094013,477792,121
20220111T094013,477772,129
20220111T094013,477777,129
20220111T094013,477782,128
20220111T094013,477784,131
20220111T094013,477776,113
20220111T094013,477789,124
20220111T094013,477766,126
20220111T094013,477774,127
20220111T094013,477787,122
20220111T094013,477773,121
20220111T094014,477788,128
20220111T094014,477769,123
20220111T094014,477764,131
20220111T094014,477767,119
20220111T094014,477778,122
20220111T094014,477770,129
20220111T094014,477779,127
20220111T094014,477793,127
20220111T094014,477772,129
20220111T094014,477777,130
20220111T094014,477783,129
20220111T094014,477784,130
20220111T094014,477782,128
20220111T094014,477787,122
20220111T094014,477765,124
20220111T094014,477785,130
20220111T094014,477769,124
20220111T094014,477788,127
20220111T094014,477780,132
20220111T094014,477764,130
20220111T094014,477790,117
20220111T094014,477778,124
20220111T094014,477786,128
20220111T094014,477793,127
20220111T094014,477779,127
20220111T094014,477783,128
20220111T094014,477776,115
20220111T094014,477784,131
20220111T094014,477782,129
20220111T094014,477789,124
20220111T094014,477769,123
20220111T094014,477785,130
20220111T094014,477764,130
20220111T094014,477778,123
20220111T094014,477780,133
20220111T094014,477792,121
20220111T094014,477786,127
20220111T094014,477783,130
20220111T094014,477779,127
20220111T094014,477776,115
20220111T094014,477772,128
20220111T094014,477777,130
20220111T094014,477787,122
20220111T094014,477773,122
20220111T094014,477775,121
20220111T094014,477788,128
20220111T094014,477764,130
20220111T094014,477780,133
20220111T094014,477792,121
20220111T094014,477781,130
20220111T094014,477791,125
20220111T094014,477770,128
20220111T094014,477786,127
20220111T094014,477777,128
20220111T094014,477766,125
20220111T094014,477787,121
20220111T094014,477784,130
20220111T094014,477773,121
20220111T094014,477769,123
20220111T094014,477774,127
20220111T094014,477785,130
20220111T094014,477771,130
20220111T094014,477789,124
20220111T094014,477782,130
20220111T094014,477775,121
20220111T094014,477788,128
20220111T094014,477767,120
20220111T094014,477764,130
20220111T094014,477778,123
20220111T094014,477790,118
20220111T094014,477781,129
20220111T094014,477783,129
20220111T094014,477793,127
20220111T094014,477791,125
20220111T094014,477770,128
20220111T094014,477786,127
20220111T094014,477787,121
20220111T094014,477772,130
20220111T094014,477785,130
20220111T094014,477771,129
20220111T094014,477775,121
20220111T094014,477788,127
20220111T094014,477767,119
20220111T094014,477764,131
20220111T094014,477790,118
20220111T094014,477792,121
20220111T094014,477783,130
20220111T094014,477780,132
20220111T094014,477781,130
20220111T094014,477793,127
20220111T094014,477791,125
20220111T094014,477770,128
20220111T094014,477776,114
20220111T094014,477786,127
20220111T094014,477779,127
20220111T094014,477787,121
20220111T094014,477769,123
20220111T094014,477784,131
20220111T094014,477766,126
20220111T094014,477773,121
20220111T094014,477772,129
20220111T094014,477789,125
20220111T094014,477774,128
20220111T094014,477775,121
20220111T094014,477785,130
20220111T094014,477764,131
20220111T094014,477778,123
20220111T094014,477790,118
20220111T094014,477783,128
20220111T094014,477782,130
20220111T094014,477792,120
20220111T094014,477780,133
20220111T094014,477781,130
20220111T094014,477793,127
20220111T094014,477791,126
20220111T094014,477776,114
20220111T094014,477770,128
20220111T094014,477786,127
20220111T094014,477765,125
20220111T094014,477787,122
20220111T094014,477779,127
20220111T094014,477766,126
20220111T094014,477773,121
20220111T094014,477784,130
20220111T094014,477775,121
20220111T094014,477774,127
20220111T094014,477789,125
