;Title, http://www.gcdataconcepts.com, x16-1d, ADXL345
;Version, 1877, Build date, Jan  8 2020,  SN:CCDC4016ECDDBE3
;Start_time, 2022-11-15, 18:36:23.260
;Uptime, 5,sec,  Vbat, 1424, mv, EOL, 1100, mv
;SampleRate, 50,Hz
;Deadband, 0, counts
;DeadbandTimeout, 0.000,sec
;Time, Ax, Ay, Az
4.556137,339,1492,1274
4.575671,307,1494,1276
4.595204,248,1585,1196
4.615204,230,1755,1083
4.634707,228,1790,1021
4.654241,198,1746,964
4.673775,153,1740,873
4.693278,141,1751,792
4.712812,178,1785,762
4.732007,187,1835,710
4.751907,119,1849,583
4.771441,67,1906,433
4.790975,78,1987,330
4.810975,62,1967,269
4.830508,37,1930,205
4.850042,55,1985,64
4.869545,26,2069,-108
4.889079,-4,2042,-213
4.908613,19,1971,-340
4.928116,-4,1939,-475
4.947649,-49,1860,-588
4.967183,-54,1817,-745
4.987183,-50,1864,-891
5.6686,-43,1833,-970
5.26220,-47,1785,-1041
5.45754,-67,1781,-1109
5.65287,-56,1662,-1149
5.84790,-38,1533,-1216
5.104324,-40,1521,-1349
5.123858,8,1533,-1450
5.143361,35,1505,-1404
5.163361,0,1506,-1349
5.182895,24,1399,-1372
5.202428,71,1110,-1454
5.221962,51,1231,-1407
5.241465,-40,1448,-1457
5.260999,-68,982,-1782
5.280533,-27,642,-1459
5.300036,-93,751,-1749
5.319570,-147,599,-2859
5.339570,-108,424,-2441
5.359103,-56,396,-1818
5.378637,33,128,-2002
5.398140,110,-215,-1934
5.417674,123,-234,-1831
5.437207,132,-268,-1938
5.456741,94,-329,-1516
5.476244,49,-368,-1406
5.495778,66,-1045,-2616
5.515778,30,-1356,-2607
5.535312,19,-984,-1704
5.554845,51,-1049,-1854
5.574349,60,-1104,-1904
5.593882,110,-1066,-1745
5.613416,178,-1332,-1740
5.632919,167,-1391,-1272
5.652453,198,-1365,-940
5.671987,323,-1749,-1372
5.691987,294,-1822,-1440
5.711520,260,-1599,-1045
5.731023,369,-1779,-891
5.750557,294,-1963,-813
5.770091,257,-2073,-572
5.789594,649,-2543,169
5.809128,364,-2452,1132
5.828661,-352,-1770,605
5.848195,442,-2047,-154
5.868195,1062,-1777,1281
5.887698,439,-763,2172
5.907232,442,-636,1598
5.926766,541,-715,1464
5.946299,501,-840,1605
5.965802,814,-838,1851
5.985336,726,-550,2010
6.4870,492,-374,2046
6.24404,539,-336,2056
6.44404,558,-309,1942
6.63907,433,-154,1871
6.83440,246,42,1880
6.102974,196,182,1953
6.122508,294,312,1951
6.142011,280,364,1944
6.161545,258,433,1892
6.181078,308,635,1746
6.200612,178,717,1701
6.220612,73,685,1730
6.240146,67,807,1689
6.259649,0,914,1453
6.279183,248,1185,1449
6.298686,416,1630,1631
6.318219,99,1610,1392
6.337753,0,1580,1185
6.357287,35,1728,1192
6.376790,-52,1660,1019
6.396790,-36,1706,839
6.416324,-42,1865,748
6.435857,-88,1874,665
6.455361,-111,1864,528
6.474894,-174,1921,312
6.494428,-193,1940,164
6.513962,-200,1985,73
6.533465,-233,2019,-34
6.552999,-233,1917,-122
6.572999,-242,1874,-304
6.592532,-252,1912,-520
6.612035,-243,1914,-593
6.631569,-234,1892,-629
6.651103,-179,1876,-774
6.670636,-104,1831,-911
6.690170,-134,1505,-1022
6.709673,32,1630,-1186
6.728869,242,2119,-1197
6.748769,94,1751,-1247
6.768769,74,1424,-1406
6.788302,141,1560,-1382
6.807836,48,1449,-1368
6.827339,28,1278,-1441
6.846873,51,1280,-1506
6.866407,44,1328,-1575
6.885940,32,1281,-1602
6.905444,-2,1353,-1507
6.924977,19,1298,-1393
6.944977,137,1074,-1404
6.964511,58,1271,-1313
6.984045,-142,1344,-1499
7.3548,-156,946,-1490
7.23082,-236,796,-899
7.42615,-436,723,-2559
7.62149,-433,474,-3841
7.81652,-268,428,-2011
7.101186,-267,405,-1556
7.121186,-286,317,-2152
7.140719,-172,123,-1973
7.160223,-59,-322,-1975
7.179756,48,-584,-1913
7.199290,73,-608,-1740
7.218824,64,-699,-1636
7.238357,101,-736,-1609
7.257861,92,-741,-1724
7.277394,3,-1058,-1745
7.297394,-33,-1215,-1677
7.316928,-20,-1236,-2068
7.336462,-118,-1447,-2273
7.355965,-163,-1459,-1725
7.375499,-111,-1377,-1329
7.395032,-75,-1288,-1420
7.414566,-2,-1457,-1482
7.434100,14,-1699,-1204
7.453633,3,-1700,-941
7.473633,12,-1865,-883
7.493136,44,-1959,-838
7.512670,153,-1884,-790
7.532204,207,-2079,-658
7.551738,166,-2313,-434
7.571241,119,-2241,-204
7.590774,92,-2143,28
7.610278,103,-2159,266
7.629811,123,-1993,442
7.649811,180,-1632,496
7.669345,294,-1629,678
7.688848,358,-1891,919
7.708382,310,-1838,980
7.727915,192,-1684,1083
7.747419,142,-1590,1192
7.766952,194,-1506,1258
7.786486,185,-1454,1448
7.805989,164,-1336,1596
7.825989,169,-1216,1617
7.845523,108,-1156,1694
7.865057,49,-1099,1785
7.884590,30,-929,1869
7.904093,35,-654,1951
7.923627,28,-420,1892
7.943161,-24,-265,1837
7.962695,-34,-117,1897
7.982198,-31,3,1910
8.2198,-93,121,1855
8.21731,-102,223,1853
8.41265,-68,307,1855
8.60768,-61,474,1862
8.80302,-79,549,1874
8.99836,-117,566,1799
8.119369,-74,678,1765
8.138873,-38,687,1862
8.158406,-27,649,1897
8.178406,5,708,1830
8.197940,32,712,1883
8.217474,58,624,1980
8.236977,35,551,1931
8.256510,-52,535,1851
8.276044,-131,474,1799
8.295547,-152,360,1828
8.315081,-170,339,1699
8.334615,-252,341,1374
8.354615,-495,435,1624
8.374148,-808,473,1996
8.393652,-988,253,1692
8.413185,-1152,33,1760
8.432719,-1325,-133,2119
8.452222,-1463,-111,1817
8.471756,-1420,-81,1431
8.491290,-1216,-200,1306
8.510823,-1336,-168,1324
8.530823,-1604,8,1348
8.550326,-1600,39,1155
8.569860,-1347,-422,1114
8.589394,-1493,-436,1114
8.608927,-1948,10,842
8.628431,-1866,-211,783
8.647964,-1777,-475,932
8.667498,-1898,-509,819
8.687001,-1800,-538,749
8.707001,-1747,-556,805
8.726535,-2068,-556,24
8.745700,-2186,-361,-68
8.765630,-2140,-342,939
8.785164,-2332,-249,642
8.804667,-1934,-415,144
8.824201,-1529,-979,242
8.843735,-1920,-531,357
8.863268,-2041,46,599
8.882771,-1654,49,257
8.902771,-1727,216,194
8.922305,-2182,133,783
8.941839,-2032,-140,596
8.961342,-1816,-152,242
8.980876,-2084,-97,407
9.409,-2079,-202,303
9.19913,-1997,210,394
9.39446,-2211,762,503
9.58949,-2023,298,-497
9.78949,-1827,-104,-1040
9.98483,-2338,-118,-631
9.118017,-2548,-756,-1031
9.137520,-2584,-227,-1359
9.157054,-2609,1082,-95
9.176587,-1925,419,239
9.196091,-1407,-306,-1265
9.215624,-1234,73,-1643
9.235127,-1050,-20,-1352
9.255127,-918,-63,-1716
9.274661,-904,78,-2338
9.294195,-1159,-818,-2204
9.313698,-1018,-1002,-1722
9.333232,-613,-199,-2213
9.352765,-467,-609,-2559
9.372269,-317,-1090,-2140
9.391802,-97,-747,-1568
9.411305,37,-325,-1549
9.431305,116,-133,-1804
9.450839,316,-270,-1690
9.470373,466,-408,-1657
9.489906,532,-372,-1970
9.509410,553,-374,-2148
9.528943,512,-358,-2034
9.548477,591,-349,-2143
