timestamp,tagID,RSSI
20220126T104607,477783,120
20220126T104607,477769,103
20220126T104607,477790,134
20220126T104607,477792,116
20220126T104607,477777,100
20220126T104607,477772,129
20220126T104607,477773,132
20220126T104607,477765,106
20220126T104607,477774,126
20220126T104607,477785,88
20220126T104608,477793,115
20220126T104608,477788,124
20220126T104608,477779,108
20220126T104608,477789,129
20220126T104608,477784,116
20220126T104608,477786,118
20220126T104608,477791,135
20220126T104608,477766,140
20220126T104608,477778,157
20220126T104608,477769,102
20220126T104608,477792,116
20220126T104608,477790,136
20220126T104608,477780,108
20220126T104608,477777,100
20220126T104608,477772,130
20220126T104608,477782,100
20220126T104608,477773,133
20220126T104609,477767,149
20220126T104609,477776,145
20220126T104609,477774,125
20220126T104609,477775,136
20220126T104609,477793,115
20220126T104609,477785,87
20220126T104609,477788,124
20220126T104609,477771,105
20220126T104609,477764,98
20220126T104609,477789,130
20220126T104609,477784,114
20220126T104609,477786,118
20220126T104609,477791,142
20220126T104609,477778,156
20220126T104609,477783,119
20220126T104609,477769,101
20220126T104609,477790,135
20220126T104609,477792,116
20220126T104609,477780,108
20220126T104610,477772,130
20220126T104610,477777,100
20220126T104610,477765,106
20220126T104610,477775,136
20220126T104610,477767,150
20220126T104610,477793,115
20220126T104610,477785,88
20220126T104610,477788,123
20220126T104610,477771,105
20220126T104610,477779,109
20220126T104610,477766,140
20220126T104610,477786,117
20220126T104610,477770,120
20220126T104610,477778,156
20220126T104610,477792,117
20220126T104611,477790,134
20220126T104611,477780,108
20220126T104611,477773,131
20220126T104611,477765,106
20220126T104611,477793,116
20220126T104611,477785,88
20220126T104611,477788,123
20220126T104611,477764,97
20220126T104611,477779,108
20220126T104611,477771,105
20220126T104611,477766,140
20220126T104611,477783,120
20220126T104611,477769,103
20220126T104611,477786,118
20220126T104611,477778,157
20220126T104611,477791,135
